what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354466906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354467843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354467843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354467921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354470562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354471484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354472140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354478296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354478296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354480781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354775828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354776375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354777062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354859968
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366354861796
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1366354869609
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1366354869609
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1366354869656
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1366354869656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354874843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354920234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354926296
closed,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366354929250
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366354929265
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366354929281
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366354929281
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366354929296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354929328
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1366354929328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1366354929328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354936531
error,log,,,"",1366354947890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366354947921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1366354947937
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366354954109
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366354954156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1366354991218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1366354997328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366354999937
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366355004546
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366355006031
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366355006078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355021156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355022046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1366355023687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355026125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355026531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355033031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355033031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355033109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355034328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1366355038281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355040609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355041062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366355042921
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366355044718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355048484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355107796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355111015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355155625
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366355158781
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366355158828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355163062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355171156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366355186859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355243218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355244203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355244984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355244984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355245328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355254968
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366355261406
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366355261609
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1366355263953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366355279171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366355295609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366355303515
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366355303843
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366355306468
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366355307062
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366355307328
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366355309109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366355310359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355317890
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1366355579250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355781296
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366355799531
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366355806609
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366355931109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355939093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355939093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366355939171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366356195656
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366356205703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366356219406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366356224359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366356227921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366356227921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366356227984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366358212328
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366358215578
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366358216500
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366358216531
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366358221031
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366358221265
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366358221296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366358595593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366358694031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366358694640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366358694640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366358695015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366358696609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366358697390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366358697390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366358699562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366359133140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366359307000
